id,carpeta,archivo,extension,tamano_kb,tipo,modulo_app,prioridad,descripcion_contenido,campos_detectados,cambios_a_implementar,notas_tecnicas,estado
1,Etiqueta_productos,CamScanner 23-02-2026 20.03.pdf,pdf,1862.3,etiqueta_producto,Productos,P2,"Rellenar: qué muestra esta etiqueta (nombre producto, lote, fecha cad, alérgenos, peso, dirección obrador, nº registro sanitario...)",,,,pendiente_revision
2,Factura,WhatsApp Image 2026-02-23 at 16.59.09.jpeg,jpeg,189.1,factura,Facturacion,P0,"Factura comercial completa. Incluye datos completos de emisor (empresa), cliente, identificación fiscal, líneas de productos, base imponible, IVA, total.",campos.json,Hay que realizar una factura siguiendo la estructura de la imagen con los mismos campos,Documento escaneado con CamScanner. Formato imagen. Texto legible por OCR. Presenta estructura tabular clásica. Disposición estándar de ERP comercial.,analizado_completo
3,Info_Clientes,datos_para_guardar.pdf,pdf,2459.4,ficha_cliente,Clientes,P0,"PDF con capturas de una aplicación de gestión empresarial que muestra la estructura completa de la ficha de cliente. Contiene formularios digitales organizados por bloques: datos identificativos, fiscales, direcciones, contacto, datos comerciales, condiciones de pago, logística de reparto, rutas, repartidor asignado, tarifas, metadatos de sistema y configuración operativa del cliente.",campos.json,Hay que recoger todos los datos de los clientes por lo que habra que modificar la base de datos para que recoja todos los campos disponibles de cada cliente y se puedan usar posteriormente,"PDF escaneado generado por CamScanner. Contiene capturas de pantallas de una aplicación móvil/ERP. No contiene texto OCR estructurado. Formularios visuales con campos editables. Estructura típica de app de gestión comercial. Modelo de datos orientado a ERP/CRM/gestión de reparto. Documento no legal, solo estructural/operativo.",analizado_completo
4,Info_Clientes,Listado de clientes.xls,xls,52.5,listado_clientes,Clientes,,"Rellenar: columnas que tiene el Excel (nombre, NIF, dirección, teléfono, repartidor asignado, forma de pago, observaciones...)", ,,,pendiente_revision
5,Info_Ingredientes,CONTROL MAT PRIMAS.pdf,pdf,35.0,hoja_control_diaria,Produccion / Trazabilidad,P1,"Rellenar: qué controla esta hoja (proveedor, ingrediente, cantidad entrada, nº lote proveedor, fecha recepción, temperatura, estado...)",,,,pendiente_revision
6,Info_Ingredientes,HOJA CONTROL SEMANAL 2.pdf,pdf,43.9,hoja_control_semanal,Produccion / Informes,P1,"Rellenar: qué recoge por semana (productos producidos por día, kg, lotes generados, mermas, incidencias...)",,,,pendiente_revision
7,Info_Ingredientes,HOJA CONTROL trimestral.pdf,pdf,23.5,hoja_control_trimestral,Informes,P1,"Rellenar: qué agrega trimestralmente (totales de producción, ventas, ingredientes consumidos, KPIs...)",,,,pendiente_revision
8,Info_Ingredientes,HOJA VERIFICACIONES.pdf,pdf,42.8,hoja_verificacion,Trazabilidad / Calidad,P1,"Rellenar: qué se verifica (temperaturas neveras, fechas caducidad stock, alérgenos, limpieza, firma responsable...)",,,,pendiente_revision
9,Info_Productos,datos_para_guardar.pdf,pdf,406.4,ficha_producto,Productos,P0,"Rellenar: qué datos de producto incluye (nombre, referencia, descripción, alérgenos, ingredientes, precio, IVA, unidad de medida, peso, foto...)",,,,pendiente_revision
10,Info_Productos,Listado de artículos.xls,xls,37.5,listado_productos,Productos,,"Rellenar: columnas del Excel (código, nombre, familia, precio compra, precio venta, IVA, unidad, stock mínimo, proveedor...)",,,,pendiente_revision
